1,2,3,4,5,6,7,8,9
1,00011U,59001A,24298.83442,0.00001067,00000-0,53894-3,0,9997
2,11,32.8748,194.9711,1454712,243.8597,100.5343,11.88837969,
1,11U,59001A,24299.84235,0.00001084,00000-0,54775-3,0,9995
2,11,32.8751,191.1672,1454751,249.5772,94.2993,11.88840209,
1,00012U,59001B,24298.802,0.00001749,00000-0,10162-2,0,9994
2,12,32.8964,179.1829,1652108,168.5489,195.7972,11.47302049,
1,12U,59001B,24299.75909,0.0000177,00000-0,10268-2,0,9990
2,12,32.8968,175.8159,1652140,173.6096,188.8649,11.47305276,
1,16U,58002A,24299.87978,0.00000382,00000-0,54465-3,0,9994
2,16,34.262,238.2418,2023824,109.6945,273.2298,10.49461514,
1,20U,59007A,24299.63497,0.00002604,00000-0,10569-2,0,9998
2,20,33.3415,262.3689,1646539,84.0038,294.4952,11.60000907,
1,00022U,59009A,24298.82161,0.00014746,00000-0,76767-3,0,9997
2,22,50.2766,151.3111,105455,254.5336,104.3951,15.1145173,
1,22U,59009A,24299.87942,0.00013432,00000-0,70037-3,0,9999
2,22,50.2764,146.2214,105453,258.6858,100.2232,15.11481152,
1,00029U,60002B,24298.64543,0.0000265,00000-0,39930-3,0,9995
2,29,48.3792,355.6631,22923,205.6509,154.3269,14.77066725,
1,29U,60002B,24299.86307,0.00002619,00000-0,39492-3,0,9998
2,29,48.3793,349.8923,22957,210.8296,149.1269,14.77073348,
1,00045U,60007A,24298.84127,0.00000855,00000-0,23168-3,0,9990
2,45,66.6922,147.2195,257821,238.1463,119.4312,14.3503143,
1,45U,60007A,24299.88669,0.00000922,00000-0,24786-3,0,9993
2,45,66.6921,144.458,257760,237.4036,120.1946,14.35033718,
1,46U,60007B,24298.72577,0.00001867,00000-0,37266-3,0,9996
2,46,66.6897,63.2125,197111,22.0997,338.8462,14.52821534,
1,00046U,60007B,24298.72577,0.00001867,00000-0,37266-3,0,9996
2,46,66.6897,63.2125,197111,22.0997,338.8462,14.52821534,
